,length,ppl,label
0,6.0,-60.57674,0
1,23.0,-312.138154,0
2,32.0,-357.72374,0
3,35.0,-409.41257,0
4,19.0,-225.421311,0
5,34.0,-424.547475,0
6,23.0,-241.562842,0
7,12.0,-153.561857,0
8,39.0,-505.668356,0
9,31.0,-351.587816,0
10,30.0,-374.21124,0
11,16.0,-234.563298,0
12,32.0,-453.036864,0
13,11.0,-120.790509,0
14,22.0,-259.099883,0
15,19.0,-233.551914,0
16,47.0,-556.687239,0
17,17.0,-208.358732,0
18,30.0,-337.357417,0
19,11.0,-125.224093,0
20,29.0,-375.237753,0
21,11.0,-145.143879,0
22,46.0,-616.370708,0
23,20.0,-240.705445,0
24,35.0,-425.152128,0
25,12.0,-133.738761,0
26,27.0,-319.400918,0
27,16.0,-182.359004,0
28,30.0,-353.371198,0
29,2.0,-29.90739,0
30,31.0,-394.548802,0
31,23.0,-312.061372,0
32,29.0,-383.500196,0
33,22.0,-283.251944,0
34,21.0,-275.337993,0
35,23.0,-311.957423,0
36,23.0,-278.797043,0
37,24.0,-313.647176,0
38,7.0,-98.580117,0
39,51.0,-626.325199,0
40,26.0,-363.44724,0
41,22.0,-290.199263,0
42,30.0,-383.789473,0
43,8.0,-88.787485,0
44,13.0,-174.980751,0
45,17.0,-215.264022,0
46,29.0,-352.679739,0
47,25.0,-322.727396,0
48,23.0,-285.370069,0
49,26.0,-324.4319,0
50,46.0,-576.906506,0
51,33.0,-409.172914,0
52,29.0,-342.899135,0
53,27.0,-307.72367,0
54,29.0,-357.452985,0
55,31.0,-405.197655,0
56,40.0,-515.39452,0
57,14.0,-183.404893,0
58,27.0,-339.091166,0
59,18.0,-230.315487,0
60,22.0,-303.395707,0
61,18.0,-218.870371,0
62,5.0,-50.457077,0
63,13.0,-181.809846,0
64,24.0,-300.462784,0
65,47.0,-574.70544,0
66,34.0,-433.163512,0
67,31.0,-366.759718,0
68,21.0,-262.321919,0
69,14.0,-183.921859,0
70,22.0,-264.143209,0
71,6.0,-76.875327,0
72,21.0,-254.164466,0
73,13.0,-168.453376,0
74,13.0,-155.546787,0
75,34.0,-404.390934,0
76,13.0,-174.978835,0
77,27.0,-319.136702,0
78,16.0,-177.620484,0
79,19.0,-269.525787,0
80,23.0,-311.949827,0
81,40.0,-514.085136,0
82,15.0,-211.732546,0
83,22.0,-264.076501,0
84,45.0,-603.509587,0
85,16.0,-241.557818,0
86,34.0,-391.043089,0
87,47.0,-587.712278,0
88,17.0,-208.76572,0
89,28.0,-367.863734,0
90,29.0,-364.031973,0
91,21.0,-275.134217,0
92,4.0,-53.564356,0
93,34.0,-437.349149,0
94,36.0,-441.624233,0
95,13.0,-155.557288,0
96,15.0,-185.511562,0
97,12.0,-186.395126,0
98,35.0,-461.837736,0
99,23.0,-291.586787,0
100,25.0,-315.862744,0
101,37.0,-498.658466,0
102,23.0,-300.38076,0
103,22.0,-286.236828,0
104,34.0,-425.751598,0
105,22.0,-278.659189,0
106,18.0,-216.701013,0
107,41.0,-472.347319,0
108,20.0,-279.860007,0
109,21.0,-281.598739,0
110,42.0,-512.265216,0
111,14.0,-159.073277,0
112,28.0,-308.668825,0
113,10.0,-130.182647,0
114,17.0,-209.174457,0
115,16.0,-213.277065,0
116,26.0,-331.628211,0
117,27.0,-332.637067,0
118,10.0,-125.17791,0
119,14.0,-158.759637,0
120,31.0,-398.794295,0
121,21.0,-283.462494,0
122,21.0,-276.745915,0
123,14.0,-183.160801,0
124,15.0,-204.746724,0
125,20.0,-233.833828,0
126,9.0,-128.629045,0
127,12.0,-153.978115,0
128,5.0,-61.867127,0
129,15.0,-182.235922,0
130,13.0,-194.966261,0
131,32.0,-424.745147,0
132,37.0,-482.360624,0
133,20.0,-259.967406,0
134,23.0,-306.813406,0
135,17.0,-254.593837,0
136,17.0,-201.991923,0
137,22.0,-278.950452,0
138,14.0,-196.662875,0
139,48.0,-610.866653,0
140,10.0,-136.745133,0
141,22.0,-250.778808,0
142,15.0,-193.606173,0
143,16.0,-191.760277,0
144,32.0,-407.167108,0
145,23.0,-300.335502,0
146,34.0,-416.783734,0
147,19.0,-245.507431,0
148,13.0,-155.328607,0
149,14.0,-196.561317,0
150,21.0,-292.811619,0
151,32.0,-387.647085,0
152,26.0,-356.643337,0
153,10.0,-112.451799,0
154,27.0,-326.007677,0
155,20.0,-253.653673,0
156,23.0,-331.332294,0
157,40.0,-519.929902,0
158,6.0,-77.008702,0
159,18.0,-237.015414,0
160,26.0,-314.332639,0
161,20.0,-247.266475,0
162,8.0,-93.614682,0
163,20.0,-253.321243,0
164,19.0,-199.676414,0
165,22.0,-257.233838,0
166,8.0,-80.585238,0
167,20.0,-208.572239,0
168,29.0,-325.056567,0
169,17.0,-197.884511,0
170,4.0,-60.208842,0
171,31.0,-408.763588,0
172,27.0,-392.873598,0
173,14.0,-167.793359,0
174,11.0,-138.689663,0
175,28.0,-354.428367,0
176,13.0,-168.516917,0
177,40.0,-535.656968,0
178,25.0,-299.655201,0
179,28.0,-366.942946,0
180,10.0,-143.388756,0
181,24.0,-293.979878,0
182,40.0,-527.034845,0
183,22.0,-267.833268,0
184,16.0,-193.953358,0
185,19.0,-238.394122,0
186,19.0,-266.482437,0
187,24.0,-313.621101,0
188,11.0,-151.819548,0
189,14.0,-183.743233,0
190,20.0,-260.21976,0
191,15.0,-164.544739,0
192,41.0,-515.810911,0
193,13.0,-168.684227,0
194,8.0,-87.215212,0
195,27.0,-358.458767,0
196,21.0,-263.740058,0
197,6.0,-83.375582,0
198,15.0,-192.107953,0
199,8.0,-126.411073,0
200,9.0,-128.118324,0
201,13.0,-168.856249,0
202,29.0,-395.007889,0
203,7.0,-98.442831,0
204,3.0,-58.129651,0
205,19.0,-207.770892,0
206,26.0,-317.423197,0
207,36.0,-422.846267,0
208,22.0,-290.386153,0
209,23.0,-287.147383,0
210,26.0,-304.408939,0
211,9.0,-103.792001,0
212,32.0,-381.237623,0
213,36.0,-420.157796,0
214,37.0,-456.263579,0
215,19.0,-231.771872,0
216,23.0,-286.056389,0
217,14.0,-170.276436,0
218,7.0,-91.779774,0
219,44.0,-568.840417,0
220,26.0,-324.137553,0
221,16.0,-206.93244,0
222,24.0,-281.011426,0
223,19.0,-232.205159,0
224,8.0,-113.171008,0
225,8.0,-99.783831,0
226,27.0,-352.08932,0
227,14.0,-170.431547,0
228,21.0,-255.211332,0
229,8.0,-106.668534,0
230,27.0,-345.090957,0
231,13.0,-155.239172,0
232,14.0,-183.412142,0
233,25.0,-308.2029,0
234,10.0,-116.826835,0
235,35.0,-416.739063,0
236,48.0,-568.671869,0
237,26.0,-323.535745,0
238,4.0,-46.747311,0
239,5.0,-61.792805,0
240,18.0,-223.754107,0
241,47.0,-578.797187,0
242,19.0,-227.399289,0
243,23.0,-259.355513,0
244,35.0,-378.987992,0
245,16.0,-162.110945,0
246,8.0,-113.303496,0
247,17.0,-234.803482,0
248,29.0,-355.875323,0
249,28.0,-366.50891,0
250,39.0,-460.913833,0
251,14.0,-176.863457,0
252,40.0,-499.877564,0
253,26.0,-363.124018,0
