,length,ppl,label
0,6.0,-60.57674,0
1,26.0,-337.374627,0
2,32.0,-377.038758,0
3,38.0,-467.056773,0
4,17.0,-202.239945,0
5,30.0,-384.094124,0
6,22.0,-259.400283,0
7,14.0,-183.538128,0
8,37.0,-469.216072,0
9,35.0,-393.631556,0
10,36.0,-463.355698,0
11,14.0,-204.585232,0
12,36.0,-484.499018,0
13,11.0,-127.459756,0
14,20.0,-242.293036,0
15,18.0,-231.679649,0
16,48.0,-571.843063,0
17,17.0,-195.334856,0
18,36.0,-401.045679,0
19,10.0,-110.36352,0
20,21.0,-281.739011,0
21,12.0,-147.022987,0
22,57.0,-735.188609,0
23,19.0,-232.188042,0
24,24.0,-300.002899,0
25,13.0,-148.766843,0
26,25.0,-295.932068,0
27,18.0,-225.430891,0
28,38.0,-427.704501,0
29,2.0,-21.335665,0
30,30.0,-386.089721,0
31,22.0,-283.965343,0
32,28.0,-355.39243,0
33,39.0,-465.655172,0
34,20.0,-260.23964,0
35,20.0,-266.843181,0
36,20.0,-253.526718,0
37,31.0,-391.993868,0
38,7.0,-85.237302,0
39,50.0,-630.753283,0
40,25.0,-355.250081,0
41,21.0,-288.247234,0
42,24.0,-333.173483,0
43,10.0,-112.140842,0
44,12.0,-166.681662,0
45,18.0,-230.2386,0
46,27.0,-318.598948,0
47,26.0,-337.381773,0
48,23.0,-285.395312,0
49,23.0,-286.061014,0
50,43.0,-551.921212,0
51,30.0,-370.980343,0
52,31.0,-392.408491,0
53,32.0,-369.612106,0
54,23.0,-300.76194,0
55,33.0,-422.164034,0
56,52.0,-655.255772,0
57,14.0,-176.925155,0
58,27.0,-339.17597,0
59,18.0,-230.354843,0
60,16.0,-226.362688,0
61,19.0,-234.257332,0
62,5.0,-50.467652,0
63,12.0,-173.225386,0
64,23.0,-279.02798,0
65,38.0,-472.349383,0
66,52.0,-638.093694,0
67,33.0,-403.168301,0
68,24.0,-307.286432,0
69,13.0,-181.910579,0
70,20.0,-247.075378,0
71,6.0,-76.875327,0
72,18.0,-228.991002,0
73,14.0,-176.909081,0
74,12.0,-153.660312,0
75,32.0,-413.548161,0
76,13.0,-188.22317,0
77,27.0,-332.340669,0
78,16.0,-177.620484,0
79,18.0,-243.270573,0
80,24.0,-326.946327,0
81,45.0,-575.696291,0
82,17.0,-221.755109,0
83,23.0,-281.086656,0
84,47.0,-648.510285,0
85,16.0,-228.441206,0
86,26.0,-317.132358,0
87,45.0,-584.147544,0
88,17.0,-208.76572,0
89,28.0,-354.843808,0
90,31.0,-380.937734,0
91,19.0,-251.84578,0
92,4.0,-53.564356,0
93,36.0,-447.288926,0
94,34.0,-417.870202,0
95,11.0,-138.821374,0
96,14.0,-183.668659,0
97,17.0,-248.44132,0
98,35.0,-461.871954,0
99,22.0,-283.038023,0
100,25.0,-315.862744,0
101,37.0,-465.413672,0
102,27.0,-333.871911,0
103,22.0,-264.192867,0
104,36.0,-449.243231,0
105,22.0,-278.825959,0
106,17.0,-221.51632,0
107,37.0,-452.099158,0
108,19.0,-258.363564,0
109,17.0,-241.175455,0
110,45.0,-550.78888,0
111,14.0,-159.073277,0
112,17.0,-199.308061,0
113,9.0,-115.229335,0
114,13.0,-168.830514,0
115,17.0,-221.615519,0
116,29.0,-376.864674,0
117,27.0,-332.543007,0
118,11.0,-140.204712,0
119,14.0,-158.759637,0
120,30.0,-409.950405,0
121,22.0,-291.734656,0
122,21.0,-276.759516,0
123,13.0,-174.749189,0
124,14.0,-189.777581,0
125,20.0,-253.496465,0
126,12.0,-153.784644,0
127,12.0,-153.978115,0
128,5.0,-61.858922,0
129,17.0,-205.574369,0
130,14.0,-203.358022,0
131,42.0,-541.726079,0
132,36.0,-474.11904,0
133,19.0,-245.209523,0
134,24.0,-315.270755,0
135,18.0,-243.236819,0
136,15.0,-191.653601,0
137,20.0,-249.080999,0
138,13.0,-155.016557,0
139,49.0,-645.175823,0
140,10.0,-136.745133,0
141,23.0,-265.850849,0
142,14.0,-185.301936,0
143,16.0,-191.820305,0
144,30.0,-377.280827,0
145,20.0,-268.617726,0
146,31.0,-371.818951,0
147,20.0,-253.855587,0
148,14.0,-176.887729,0
149,19.0,-271.342731,0
150,19.0,-291.54244,0
151,36.0,-434.221606,0
152,28.0,-406.391829,0
153,8.0,-101.926286,0
154,19.0,-245.501506,0
155,18.0,-230.22625,0
156,24.0,-333.172041,0
157,42.0,-545.172281,0
158,8.0,-106.790903,0
159,19.0,-251.899594,0
160,27.0,-304.601806,0
161,20.0,-253.790734,0
162,6.0,-83.490342,0
163,20.0,-253.321243,0
164,19.0,-206.148596,0
165,23.0,-259.205225,0
166,7.0,-72.14174,0
167,18.0,-191.899343,0
168,35.0,-414.440013,0
169,15.0,-181.090433,0
170,4.0,-53.659443,0
171,37.0,-459.625034,0
172,28.0,-401.533948,0
173,13.0,-152.680316,0
174,9.0,-121.791887,0
175,28.0,-347.856757,0
176,14.0,-170.476769,0
177,31.0,-409.489208,0
178,26.0,-314.626258,0
179,27.0,-358.465955,0
180,10.0,-143.388756,0
181,24.0,-306.967944,0
182,35.0,-458.69685,0
183,23.0,-267.677815,0
184,15.0,-185.567137,0
185,16.0,-199.921074,0
186,22.0,-311.455176,0
187,23.0,-298.615675,0
188,11.0,-151.847977,0
189,13.0,-174.821051,0
190,20.0,-260.257388,0
191,14.0,-156.133127,0
192,50.0,-630.907843,0
193,12.0,-160.278772,0
194,7.0,-85.410501,0
195,28.0,-366.961909,0
196,25.0,-290.867787,0
197,6.0,-83.375582,0
198,13.0,-168.438499,0
199,8.0,-126.411073,0
200,9.0,-128.118324,0
201,15.0,-192.235145,0
202,30.0,-396.799765,0
203,7.0,-98.442831,0
204,3.0,-58.129651,0
205,15.0,-178.656413,0
206,35.0,-427.930457,0
207,37.0,-437.727541,0
208,24.0,-287.615842,0
209,21.0,-263.773982,0
210,28.0,-316.950329,0
211,9.0,-103.792001,0
212,39.0,-440.189306,0
213,43.0,-527.664767,0
214,40.0,-501.400682,0
215,19.0,-225.309529,0
216,18.0,-217.512715,0
217,14.0,-183.314237,0
218,9.0,-108.549151,0
219,49.0,-593.802114,0
220,26.0,-324.056507,0
221,16.0,-224.318336,0
222,18.0,-223.813225,0
223,20.0,-227.228858,0
224,7.0,-104.787543,0
225,8.0,-99.783831,0
226,27.0,-364.952969,0
227,13.0,-162.003794,0
228,22.0,-270.15782,0
229,9.0,-121.733462,0
230,31.0,-378.707333,0
231,12.0,-146.83302,0
232,16.0,-206.726213,0
233,26.0,-310.04235,0
234,11.0,-125.316671,0
235,35.0,-431.231346,0
236,43.0,-528.514985,0
237,22.0,-281.726582,0
238,6.0,-63.47874,0
239,5.0,-68.312825,0
240,25.0,-302.388631,0
241,37.0,-477.246645,0
242,21.0,-257.360575,0
243,25.0,-289.391539,0
244,35.0,-385.31861,0
245,14.0,-125.686575,0
246,11.0,-118.918342,0
247,16.0,-245.839635,0
248,29.0,-382.126177,0
249,24.0,-287.054714,0
250,43.0,-551.567554,0
251,17.0,-208.657431,0
252,45.0,-549.022552,0
253,30.0,-396.992237,0
254,19.0,-206.020111,0
255,13.0,-194.591649,0
256,15.0,-174.369969,0
257,20.0,-246.79457,0
258,16.0,-174.270275,0
259,16.0,-226.413576,0
260,24.0,-306.780377,0
261,11.0,-145.126802,0
262,23.0,-318.063956,0
263,8.0,-100.138946,0
264,22.0,-283.359995,0
265,17.0,-184.446908,0
266,27.0,-338.828352,0
267,11.0,-157.924351,0
268,19.0,-238.707274,0
269,9.0,-115.223261,0
270,10.0,-117.108097,0
271,26.0,-286.354444,0
272,30.0,-389.874734,0
273,25.0,-323.4465,0
274,25.0,-282.675669,0
275,24.0,-269.268132,0
276,17.0,-235.01459,0
277,28.0,-373.603027,0
278,19.0,-238.721023,0
279,24.0,-333.582951,0
280,22.0,-290.613714,0
281,5.0,-39.550125,0
282,41.0,-539.41386,0
283,38.0,-428.878598,0
284,19.0,-207.210347,0
285,40.0,-476.130453,0
286,34.0,-450.176216,0
287,47.0,-589.889858,0
288,17.0,-228.361262,0
289,7.0,-107.183805,0
290,7.0,-91.715484,0
291,22.0,-296.569638,0
292,12.0,-153.396293,0
293,15.0,-211.425891,0
294,23.0,-305.12586,0
295,6.0,-83.332384,0
296,16.0,-219.943494,0
297,13.0,-170.691028,0
298,22.0,-310.410634,0
299,18.0,-249.776504,0
300,10.0,-156.414065,0
301,18.0,-236.714072,0
302,9.0,-134.781048,0
303,14.0,-203.032584,0
304,42.0,-530.675503,0
305,11.0,-118.817622,0
306,8.0,-113.394559,0
307,10.0,-116.837724,0
308,31.0,-398.740115,0
309,46.0,-588.178288,0
310,9.0,-108.564727,0
311,22.0,-250.410466,0
312,5.0,-68.223957,0
313,7.0,-111.353863,0
314,38.0,-555.155729,0
315,14.0,-189.834531,0
316,30.0,-363.688967,0
317,16.0,-206.732684,0
318,20.0,-240.520441,0
319,42.0,-538.772102,0
320,32.0,-413.47073,0
321,18.0,-223.957229,0
322,5.0,-74.931765,0
323,22.0,-296.860387,0
324,34.0,-442.711906,0
325,38.0,-503.171659,0
326,27.0,-358.306095,0
327,27.0,-332.199152,0
328,26.0,-315.889897,0
329,32.0,-428.284895,0
330,11.0,-171.346994,0
331,20.0,-246.664099,0
332,33.0,-434.90725,0
333,61.0,-734.555861,0
334,27.0,-338.379351,0
335,14.0,-183.262172,0
336,37.0,-501.766,0
337,24.0,-341.239834,0
338,38.0,-523.452269,0
339,25.0,-328.68105,0
340,41.0,-568.541183,0
341,14.0,-177.168155,0
342,39.0,-538.182271,0
343,24.0,-321.66041,0
344,20.0,-279.905148,0
345,32.0,-400.483286,0
346,10.0,-149.866051,0
347,22.0,-278.340689,0
348,7.0,-78.652035,0
349,22.0,-281.241291,0
350,41.0,-497.872549,0
351,33.0,-404.288496,0
352,22.0,-329.79055,0
353,28.0,-353.873033,0
354,15.0,-211.376871,0
355,21.0,-220.575928,0
356,22.0,-316.512276,0
357,15.0,-171.929088,0
358,17.0,-208.793743,0
359,19.0,-238.797407,0
360,45.0,-565.946549,0
361,20.0,-260.188006,0
362,27.0,-326.112348,0
363,20.0,-306.334452,0
364,23.0,-305.722915,0
365,39.0,-518.186572,0
366,16.0,-213.369892,0
367,17.0,-228.682989,0
368,6.0,-89.942095,0
369,14.0,-209.585724,0
370,25.0,-374.098417,0
371,20.0,-279.983044,0
372,30.0,-390.359583,0
373,24.0,-320.068236,0
374,13.0,-175.014138,0
375,18.0,-230.074939,0
376,23.0,-304.865001,0
377,24.0,-332.791096,0
378,31.0,-431.335445,0
379,26.0,-350.030994,0
380,22.0,-290.186733,0
381,3.0,-51.591613,0
382,26.0,-343.056914,0
383,21.0,-259.233037,0
384,20.0,-234.524278,0
385,17.0,-213.287608,0
386,26.0,-330.401229,0
387,8.0,-119.742154,0
388,23.0,-261.518145,0
389,11.0,-138.616135,0
390,16.0,-226.634632,0
391,22.0,-289.981537,0
392,11.0,-125.346522,0
393,21.0,-282.344235,0
394,25.0,-334.744732,0
395,15.0,-192.011754,0
396,23.0,-324.642769,0
397,9.0,-108.804022,0
398,23.0,-311.56393,0
399,28.0,-356.250662,0
400,18.0,-275.696148,0
401,14.0,-210.089139,0
402,42.0,-556.553453,0
403,27.0,-354.639634,0
404,20.0,-273.453112,0
405,17.0,-215.239578,0
406,20.0,-266.569772,0
407,11.0,-145.201834,0
408,15.0,-204.702925,0
409,10.0,-136.259998,0
410,13.0,-174.851711,0
411,14.0,-209.854652,0
412,33.0,-422.091515,0
413,17.0,-235.0983,0
414,6.0,-63.900767,0
