,length,ppl,label
0,4.0,-29.451411,0
1,30.0,-292.625496,0
2,31.0,-277.814628,0
3,41.0,-345.521143,0
4,20.0,-177.39808,0
5,34.0,-350.068908,0
6,21.0,-189.041029,0
7,20.0,-172.527045,0
8,40.0,-385.862272,0
9,30.0,-267.054358,0
10,35.0,-406.383634,0
11,18.0,-196.615814,0
12,43.0,-434.793886,0
13,10.0,-100.05366,0
14,22.0,-235.313251,0
15,24.0,-206.702569,0
16,19.0,-207.146442,0
17,35.0,-332.122655,0
18,25.0,-242.217824,0
19,18.0,-138.336605,0
20,21.0,-183.057262,0
21,15.0,-120.888848,0
22,43.0,-431.724607,0
23,23.0,-188.433378,0
24,45.0,-400.639472,0
25,12.0,-92.065309,0
26,36.0,-355.255912,0
27,20.0,-203.289916,0
28,29.0,-233.6574,0
29,5.0,-52.277926,0
30,39.0,-416.116255,0
31,25.0,-288.278112,0
32,30.0,-322.015164,0
33,35.0,-335.595049,0
34,17.0,-174.017479,0
35,22.0,-248.827257,0
36,25.0,-228.443548,0
37,34.0,-429.24056,0
38,6.0,-44.332684,0
39,50.0,-581.284291,0
40,28.0,-350.997588,0
41,25.0,-262.751379,0
42,34.0,-365.479637,0
43,10.0,-103.395895,0
44,13.0,-177.366715,0
45,20.0,-207.029305,0
46,30.0,-317.94589,0
47,33.0,-357.958131,0
48,21.0,-232.146712,0
49,32.0,-345.353989,0
50,40.0,-431.714334,0
51,31.0,-362.322224,0
52,37.0,-411.835424,0
53,26.0,-267.507422,0
54,24.0,-227.344604,0
55,26.0,-301.799574,0
56,53.0,-487.259997,0
57,18.0,-235.350925,0
58,23.0,-255.934272,0
59,19.0,-241.294706,0
60,27.0,-260.987017,0
61,19.0,-169.09439,0
62,4.0,-30.229137,0
63,17.0,-137.560528,0
64,22.0,-197.993704,0
65,39.0,-345.283411,0
66,20.0,-202.023781,0
67,40.0,-391.477632,0
68,22.0,-194.960216,0
69,19.0,-173.842204,0
70,17.0,-207.609523,0
71,5.0,-68.035013,0
72,22.0,-217.988106,0
73,17.0,-145.701319,0
74,17.0,-177.27171,0
75,32.0,-353.386458,0
76,16.0,-160.563031,0
77,25.0,-276.853515,0
78,23.0,-197.667685,0
79,23.0,-245.113433,0
80,31.0,-375.165401,0
81,43.0,-461.448817,0
82,16.0,-146.076405,0
83,26.0,-228.384943,0
84,45.0,-479.737994,0
85,19.0,-218.583092,0
86,26.0,-252.483553,0
87,54.0,-546.451148,0
88,16.0,-173.366454,0
89,28.0,-273.886869,0
90,33.0,-361.398076,0
91,21.0,-185.823557,0
92,5.0,-55.906188,0
93,33.0,-348.963887,0
94,33.0,-326.062128,0
95,16.0,-146.317943,0
96,12.0,-129.426081,0
97,19.0,-215.386702,0
98,31.0,-303.897141,0
99,34.0,-309.934435,0
100,26.0,-238.681035,0
101,34.0,-361.840457,0
102,28.0,-323.828767,0
103,31.0,-342.501785,0
104,37.0,-376.371579,0
105,26.0,-202.625141,0
106,20.0,-186.510175,0
107,43.0,-389.828349,0
108,30.0,-323.687289,0
109,22.0,-224.072347,0
110,50.0,-473.004764,0
111,13.0,-125.046984,0
112,28.0,-273.932218,0
113,12.0,-111.252492,0
114,18.0,-162.268006,0
115,19.0,-184.106174,0
116,33.0,-373.470144,0
117,29.0,-295.10001,0
118,12.0,-127.813398,0
119,14.0,-127.478009,0
120,33.0,-358.754233,0
121,27.0,-276.194089,0
122,26.0,-233.790254,0
123,22.0,-216.468846,0
124,17.0,-193.187903,0
125,20.0,-175.86715,0
126,13.0,-103.329808,0
127,11.0,-134.869616,0
128,9.0,-64.505909,0
129,13.0,-118.591981,0
130,19.0,-188.59544,0
131,45.0,-484.505557,0
132,37.0,-361.30411,0
133,20.0,-207.437887,0
134,22.0,-210.022609,0
135,23.0,-199.855048,0
136,31.0,-295.960719,0
137,22.0,-212.882629,0
138,15.0,-148.207975,0
139,46.0,-467.811391,0
140,12.0,-138.55836,0
141,25.0,-238.588687,0
142,16.0,-167.856827,0
143,17.0,-155.670581,0
144,39.0,-355.697723,0
145,27.0,-287.101381,0
146,40.0,-370.553268,0
147,21.0,-212.113657,0
148,17.0,-159.981093,0
149,18.0,-220.637976,0
150,26.0,-251.081609,0
151,34.0,-363.961646,0
152,34.0,-350.54489,0
153,8.0,-72.209558,0
154,27.0,-256.341302,0
155,14.0,-122.990034,0
156,34.0,-346.204427,0
157,41.0,-416.364543,0
158,10.0,-103.63159,0
159,22.0,-200.645076,0
160,21.0,-198.617287,0
161,18.0,-154.047558,0
162,6.0,-62.980514,0
163,24.0,-231.522856,0
164,17.0,-150.199503,0
165,29.0,-261.552469,0
166,9.0,-74.669521,0
167,26.0,-193.229037,0
168,31.0,-264.644109,0
169,20.0,-156.417024,0
170,5.0,-39.552387,0
171,28.0,-295.603399,0
172,21.0,-227.320084,0
173,13.0,-138.909903,0
174,9.0,-97.104964,0
175,29.0,-334.060303,0
176,15.0,-148.537809,0
177,31.0,-356.314543,0
178,24.0,-237.578373,0
179,27.0,-307.901507,0
180,16.0,-152.047957,0
181,25.0,-244.796105,0
182,43.0,-475.816312,0
183,22.0,-228.44498,0
184,15.0,-124.339151,0
185,19.0,-184.500141,0
186,28.0,-292.897008,0
187,18.0,-242.126342,0
188,12.0,-123.499856,0
189,17.0,-156.121619,0
190,19.0,-224.426945,0
191,14.0,-147.375587,0
192,38.0,-436.455488,0
193,20.0,-196.624321,0
194,7.0,-47.627829,0
195,32.0,-351.379384,0
196,25.0,-233.55601,0
197,6.0,-68.354753,0
198,13.0,-153.910733,0
199,11.0,-121.480191,0
200,10.0,-123.30195,0
201,13.0,-142.52241,0
202,33.0,-355.914398,0
203,9.0,-96.734524,0
204,2.0,-38.116911,0
205,18.0,-149.562403,0
206,40.0,-359.005308,0
207,37.0,-318.07092,0
208,21.0,-206.71588,0
209,29.0,-268.942391,0
210,28.0,-306.753804,0
211,10.0,-84.400125,0
212,34.0,-365.143528,0
213,33.0,-312.309524,0
214,50.0,-455.411727,0
215,17.0,-123.653474,0
216,19.0,-188.43226,0
217,14.0,-129.152608,0
218,9.0,-82.313208,0
219,40.0,-408.197754,0
220,41.0,-353.518052,0
221,17.0,-168.733073,0
222,21.0,-179.610815,0
223,20.0,-211.349375,0
224,9.0,-87.440888,0
225,8.0,-70.368432,0
226,26.0,-254.618493,0
227,13.0,-119.833386,0
228,15.0,-135.201041,0
229,10.0,-78.491434,0
230,31.0,-253.646404,0
231,15.0,-113.222493,0
232,19.0,-183.671469,0
233,16.0,-141.697602,0
234,22.0,-202.311642,0
235,16.0,-129.403864,0
236,52.0,-565.148707,0
237,25.0,-246.34611,0
238,7.0,-46.518451,0
239,6.0,-41.816896,0
240,25.0,-226.297595,0
241,60.0,-540.513004,0
242,24.0,-208.70969,0
243,17.0,-136.47783,0
244,28.0,-254.33375,0
245,12.0,-88.425465,0
246,8.0,-78.621163,0
247,30.0,-314.554838,0
248,29.0,-275.564243,0
249,23.0,-244.123376,0
250,41.0,-365.116643,0
251,15.0,-143.325649,0
252,44.0,-436.608718,0
253,36.0,-330.710174,0
254,17.0,-162.913044,0
255,23.0,-220.694406,0
256,19.0,-191.189583,0
257,18.0,-203.887717,0
258,13.0,-137.699753,0
259,17.0,-156.151292,0
260,26.0,-257.034715,0
261,8.0,-82.093556,0
262,39.0,-374.28,0
263,9.0,-89.074275,0
264,23.0,-240.72255,0
265,13.0,-134.069701,0
266,28.0,-272.93178,0
267,12.0,-113.777167,0
268,18.0,-156.413792,0
269,6.0,-58.011762,0
270,8.0,-87.971921,0
271,19.0,-182.298627,0
272,26.0,-268.385068,0
273,32.0,-276.731755,0
274,31.0,-267.771397,0
275,24.0,-241.574928,0
276,17.0,-175.91044,0
277,29.0,-317.857055,0
278,20.0,-187.453742,0
279,22.0,-214.299596,0
280,16.0,-145.792099,0
281,4.0,-37.052991,0
282,43.0,-441.785716,0
283,24.0,-233.836282,0
284,22.0,-191.123582,0
285,25.0,-244.44123,0
286,47.0,-473.411486,0
287,40.0,-444.410773,0
288,14.0,-135.17221,0
289,14.0,-130.9735,0
290,7.0,-60.929819,0
291,30.0,-263.564322,0
292,13.0,-157.608429,0
293,20.0,-231.691804,0
294,30.0,-358.028323,0
295,8.0,-71.215598,0
296,22.0,-215.528571,0
297,13.0,-127.102922,0
298,14.0,-154.936728,0
299,19.0,-218.051129,0
300,18.0,-175.171924,0
301,26.0,-260.1365,0
302,10.0,-90.308791,0
303,19.0,-195.012479,0
304,43.0,-411.418629,0
305,10.0,-111.3392,0
306,8.0,-84.602756,0
307,12.0,-102.97085,0
308,29.0,-269.697938,0
309,55.0,-592.500808,0
310,10.0,-67.631441,0
311,24.0,-218.442033,0
312,6.0,-37.212738,0
313,8.0,-56.37047,0
314,40.0,-395.350454,0
315,16.0,-158.952549,0
316,30.0,-309.843597,0
317,20.0,-172.035688,0
318,20.0,-203.00849,0
319,35.0,-319.825742,0
320,33.0,-316.52543,0
321,16.0,-203.310517,0
322,4.0,-49.893604,0
323,28.0,-319.867134,0
324,48.0,-497.870033,0
325,51.0,-579.20065,0
326,30.0,-293.213417,0
327,30.0,-308.690178,0
328,30.0,-275.846753,0
329,43.0,-393.684119,0
330,15.0,-166.666512,0
331,18.0,-177.550322,0
332,29.0,-306.314875,0
333,58.0,-556.800517,0
334,33.0,-330.115897,0
335,16.0,-171.111471,0
336,48.0,-396.571819,0
337,25.0,-301.690801,0
338,34.0,-394.416736,0
339,31.0,-321.101457,0
340,57.0,-597.042603,0
341,15.0,-129.662161,0
342,36.0,-460.485034,0
343,25.0,-232.482505,0
344,26.0,-263.575374,0
345,31.0,-344.35143,0
346,14.0,-129.805537,0
347,27.0,-205.49582,0
348,6.0,-61.012542,0
349,20.0,-225.909202,0
350,49.0,-500.349413,0
351,35.0,-332.937457,0
352,28.0,-279.983116,0
353,36.0,-332.769373,0
354,15.0,-157.016945,0
355,26.0,-206.75591,0
356,28.0,-297.648045,0
357,17.0,-164.809447,0
358,16.0,-134.966498,0
359,28.0,-274.509387,0
360,42.0,-431.961639,0
361,21.0,-230.241067,0
362,27.0,-278.523729,0
363,21.0,-257.329989,0
364,35.0,-415.527229,0
365,47.0,-505.857664,0
366,17.0,-174.203825,0
367,18.0,-209.318518,0
368,8.0,-89.370332,0
369,26.0,-227.964599,0
370,34.0,-407.694927,0
371,24.0,-230.205283,0
372,27.0,-241.133962,0
373,30.0,-326.511394,0
374,14.0,-168.418329,0
375,23.0,-242.276009,0
376,23.0,-224.43941,0
377,36.0,-375.1359,0
378,38.0,-384.744489,0
379,31.0,-291.782876,0
380,22.0,-241.041125,0
381,4.0,-43.319492,0
382,25.0,-258.058128,0
383,20.0,-197.064127,0
384,22.0,-192.209338,0
385,16.0,-163.885533,0
386,37.0,-343.530735,0
387,9.0,-114.773538,0
388,22.0,-234.073195,0
389,12.0,-126.895913,0
390,19.0,-202.898296,0
391,23.0,-263.382628,0
392,13.0,-126.432219,0
393,25.0,-248.886023,0
394,24.0,-269.482266,0
395,19.0,-188.422728,0
396,27.0,-303.824009,0
397,11.0,-102.892886,0
398,29.0,-305.023197,0
399,28.0,-315.50372,0
400,22.0,-203.010119,0
401,17.0,-171.325287,0
402,53.0,-491.39115,0
403,32.0,-308.278221,0
404,12.0,-156.340606,0
405,18.0,-178.858103,0
406,21.0,-182.826031,0
407,17.0,-163.266677,0
408,20.0,-194.191023,0
409,14.0,-130.099599,0
410,14.0,-135.751224,0
411,18.0,-158.997262,0
412,37.0,-441.309621,0
413,20.0,-187.972571,0
414,7.0,-73.923875,0
415,25.0,-265.582343,0
416,24.0,-218.669611,0
417,12.0,-124.792961,0
418,5.0,-51.96631,0
419,35.0,-414.897442,0
420,39.0,-414.151767,0
421,22.0,-242.246178,0
422,13.0,-146.317518,0
423,24.0,-236.102452,0
424,30.0,-295.719159,0
425,22.0,-228.497186,0
426,9.0,-59.758736,0
427,28.0,-252.911216,0
428,20.0,-168.018596,0
429,23.0,-182.681785,0
430,22.0,-215.461103,0
431,18.0,-192.454179,0
432,27.0,-286.487667,0
433,26.0,-259.538872,0
434,26.0,-320.398977,0
435,16.0,-194.579874,0
436,5.0,-51.878424,0
437,27.0,-281.39003,0
438,23.0,-201.347571,0
439,19.0,-219.631212,0
440,11.0,-119.879227,0
441,34.0,-372.19004,0
